email,label
Project scheduled for next week,not_spam
Client performance update,not_spam
Exclusive million investment. Guaranteed returns!,spam
Client proposal update,not_spam
Team review meeting invitation,not_spam
Report review meeting invitation,not_spam
Congratulations! You've won a offer prize!,spam
Quarterly proposal report attached,not_spam
Review review meeting invitation,not_spam
Urgent! Free offer for you!,spam
Limited time rich opportunity. Act now!,spam
Quarterly quarterly report attached,not_spam
Project review meeting invitation,not_spam
Client team update,not_spam
Client quarterly update,not_spam
Project review meeting invitation,not_spam
Congratulations! You've won a rich prize!,spam
Client review meeting invitation,not_spam
Quarterly review meeting invitation,not_spam
Team client and discussion points,not_spam
Quarterly quarterly report attached,not_spam
Get 709961 dollars winner!,spam
Agenda scheduled for next week,not_spam
Client client update,not_spam
Client client update,not_spam
Proposal review meeting invitation,not_spam
Congratulations! You've won a prize prize!,spam
Team performance and discussion points,not_spam
Team quarterly and discussion points,not_spam
Team meeting and discussion points,not_spam
Exclusive congratulations investment. Guaranteed returns!,spam
Get 408489 dollars guaranteed!,spam
Quarterly strategy report attached,not_spam
Performance scheduled for next week,not_spam
Client client update,not_spam
Project scheduled for next week,not_spam
Quarterly client report attached,not_spam
Limited time congratulations opportunity. Act now!,spam
Client report update,not_spam
Quarterly agenda report attached,not_spam
Client review update,not_spam
Limited time winner opportunity. Act now!,spam
Quarterly quarterly report attached,not_spam
Get 814098 dollars investment!,spam
Team team and discussion points,not_spam
Get 768490 dollars investment!,spam
Report review meeting invitation,not_spam
Agenda review meeting invitation,not_spam
Exclusive limited investment. Guaranteed returns!,spam
Exclusive million investment. Guaranteed returns!,spam
Quarterly meeting report attached,not_spam
Quarterly meeting report attached,not_spam
Client review update,not_spam
Team scheduled for next week,not_spam
Team team and discussion points,not_spam
Team agenda and discussion points,not_spam
Strategy review meeting invitation,not_spam
Quarterly proposal report attached,not_spam
Limited time lottery opportunity. Act now!,spam
Exclusive limited investment. Guaranteed returns!,spam
Limited time prize opportunity. Act now!,spam
Quarterly quarterly report attached,not_spam
Client agenda update,not_spam
Urgent! Free offer for you!,spam
Urgent! Urgent offer for you!,spam
Client team update,not_spam
Congratulations! You've won a offer prize!,spam
Client strategy update,not_spam
Team agenda and discussion points,not_spam
Urgent! Rich offer for you!,spam
Team agenda and discussion points,not_spam
Get 479865 dollars winner!,spam
Team report and discussion points,not_spam
Get 305322 dollars limited!,spam
Urgent! Urgent offer for you!,spam
Client meeting update,not_spam
Limited time lottery opportunity. Act now!,spam
Quarterly client report attached,not_spam
Client proposal update,not_spam
Limited time urgent opportunity. Act now!,spam
Team meeting and discussion points,not_spam
Congratulations! You've won a click prize!,spam
Client agenda update,not_spam
Team agenda and discussion points,not_spam
Quarterly strategy report attached,not_spam
Client meeting update,not_spam
Project review meeting invitation,not_spam
Quarterly client report attached,not_spam
Client agenda update,not_spam
Project review meeting invitation,not_spam
Report scheduled for next week,not_spam
Team review meeting invitation,not_spam
Quarterly scheduled for next week,not_spam
Exclusive lottery investment. Guaranteed returns!,spam
Project review meeting invitation,not_spam
Proposal scheduled for next week,not_spam
Agenda scheduled for next week,not_spam
Client agenda update,not_spam
Client client update,not_spam
Client scheduled for next week,not_spam
Get 207579 dollars urgent!,spam
Review scheduled for next week,not_spam
Project scheduled for next week,not_spam
Client client update,not_spam
Quarterly client report attached,not_spam
Get 913231 dollars million!,spam
Exclusive prize investment. Guaranteed returns!,spam
Team client and discussion points,not_spam
Quarterly meeting report attached,not_spam
Urgent! Free offer for you!,spam
Review scheduled for next week,not_spam
Team quarterly and discussion points,not_spam
Review scheduled for next week,not_spam
Congratulations! You've won a investment prize!,spam
Project review meeting invitation,not_spam
Quarterly review meeting invitation,not_spam
Agenda scheduled for next week,not_spam
Urgent! Free offer for you!,spam
Congratulations! You've won a click prize!,spam
Quarterly review report attached,not_spam
Client team update,not_spam
Quarterly scheduled for next week,not_spam
Quarterly project report attached,not_spam
Client quarterly update,not_spam
Quarterly review report attached,not_spam
Quarterly review meeting invitation,not_spam
Agenda review meeting invitation,not_spam
Quarterly team report attached,not_spam
Proposal review meeting invitation,not_spam
Get 784863 dollars urgent!,spam
Quarterly performance report attached,not_spam
Project review meeting invitation,not_spam
Get 163023 dollars winner!,spam
Client meeting update,not_spam
Client agenda update,not_spam
Quarterly proposal report attached,not_spam
Urgent! Lottery offer for you!,spam
Client review meeting invitation,not_spam
Congratulations! You've won a congratulations prize!,spam
Review scheduled for next week,not_spam
Congratulations! You've won a click prize!,spam
Client meeting update,not_spam
Proposal review meeting invitation,not_spam
Congratulations! You've won a prize prize!,spam
Review review meeting invitation,not_spam
Review review meeting invitation,not_spam
Report scheduled for next week,not_spam
Exclusive million investment. Guaranteed returns!,spam
Exclusive urgent investment. Guaranteed returns!,spam
Quarterly quarterly report attached,not_spam
Quarterly report report attached,not_spam
Team quarterly and discussion points,not_spam
Quarterly proposal report attached,not_spam
Meeting scheduled for next week,not_spam
Client proposal update,not_spam
Report scheduled for next week,not_spam
Meeting scheduled for next week,not_spam
Congratulations! You've won a lottery prize!,spam
Quarterly strategy report attached,not_spam
Client agenda update,not_spam
Limited time winner opportunity. Act now!,spam
Team agenda and discussion points,not_spam
Client team update,not_spam
Limited time investment opportunity. Act now!,spam
Congratulations! You've won a investment prize!,spam
Get 356954 dollars congratulations!,spam
Quarterly quarterly report attached,not_spam
Client performance update,not_spam
Review review meeting invitation,not_spam
Congratulations! You've won a guaranteed prize!,spam
Congratulations! You've won a urgent prize!,spam
Client strategy update,not_spam
Team strategy and discussion points,not_spam
Proposal review meeting invitation,not_spam
Congratulations! You've won a limited prize!,spam
Limited time rich opportunity. Act now!,spam
Limited time winner opportunity. Act now!,spam
Review review meeting invitation,not_spam
Agenda review meeting invitation,not_spam
Proposal review meeting invitation,not_spam
Review review meeting invitation,not_spam
Team quarterly and discussion points,not_spam
Team agenda and discussion points,not_spam
Quarterly review meeting invitation,not_spam
Team meeting and discussion points,not_spam
Review scheduled for next week,not_spam
Urgent! Winner offer for you!,spam
Project review meeting invitation,not_spam
Get 738234 dollars prize!,spam
Get 519172 dollars investment!,spam
Proposal review meeting invitation,not_spam
Get 755208 dollars congratulations!,spam
Review scheduled for next week,not_spam
Get 803023 dollars click!,spam
Agenda scheduled for next week,not_spam
Team project and discussion points,not_spam
Limited time free opportunity. Act now!,spam
Client review meeting invitation,not_spam
Get 72952 dollars click!,spam
Quarterly project report attached,not_spam
Review review meeting invitation,not_spam
Team meeting and discussion points,not_spam
Urgent! Free offer for you!,spam
Quarterly scheduled for next week,not_spam
Quarterly proposal report attached,not_spam
Get 43223 dollars winner!,spam
Team quarterly and discussion points,not_spam
Limited time limited opportunity. Act now!,spam
Client proposal update,not_spam
Limited time click opportunity. Act now!,spam
Client agenda update,not_spam
Client scheduled for next week,not_spam
Team strategy and discussion points,not_spam
Client meeting update,not_spam
Client performance update,not_spam
Team client and discussion points,not_spam
Team meeting and discussion points,not_spam
